freq_max,size,rank,NAICS,manual_identification_review
menuister,2557,107,Home Furniture and Supplies Manufacturers/Retailers,yes
mercerie,13069,15,Clothing and clothing accessories manufacturers/retailers,yes
meubles,3930,70,Home Furniture and Supplies Manufacturers/Retailers,yes
miroitier,1394,170,Home Furniture and Supplies Manufacturers/Retailers,yes
modes,8914,30,Clothing and clothing accessories manufacturers/retailers,yes
negociant,3304,85.5,Wholesalers Trade,yes
negts,1745,145,Wholesalers Trade,yes
notaire,1593,156,Administrative and Legal Services,yes
nourrisseur,1417,167,Related to Agricultural Activities,yes
nouveautes,3806,75,Other retailers,yes
opticien,2218,121,Manufacturing,yes
orfevre,1737,146,Clothing and clothing accessories manufacturers/retailers,yes
papetier,7500,42,Publishing Industries,yes
papiers peints,2068,130,Publishing Industries,"yes, change of NAICS (initially Wholesalers Trade) to simplify the manual editing"
parapluies,2251,119,Clothing and clothing accessories manufacturers/retailers,yes
paraptutes,2358,115,Clothing and clothing accessories manufacturers/retailers,yes
parfumeur,2547,108,"Cosmetics, Beauty Supplies, and Perfume Retailers",yes
passementier,3809,74,Clothing and clothing accessories manufacturers/retailers,yes
patissier,6844,48,Food stores,yes
peintre-artiste,27238,4,"Arts, Entertainment, and Recreation",yes
pensionnat,2642,102,Educational Services,yes
pharmacien,9077,25,Health Practitioners,yes
plombier,2876,94,Construction and Public Works,yes
plumassier,2416,113,Other retailers,yes
porcelaines et cristaux,1548,158,Home Furniture and Supplies Manufacturers/Retailers,yes
porcetaines et cristaux,1654,154,Home Furniture and Supplies Manufacturers/Retailers,yes
produits chimiques,1537,159,,yes
professeur de piano,10926,19,Educational Services,yes
prop.,3852,72,"No Activity, Living of Income",yes
proprietaire,25582,5,"No Activity, Living of Income",yes
quincaillier,3898,71,Other retailers,yes
receveur de rentes,1874,139,Finance and Insurance,yes
relieur,2168,126,Publishing Industries,yes
rentier,8325,36,"No Activity, Living of Income",yes
representant de commerce,8169,40,Trade Agents and Brokers,yes
restaurateur,7219,45,Full-Service Restaurants,yes
robes,1730,147,Clothing and clothing accessories manufacturers/retailers,yes
robes et manteaux,1399,169,Clothing and clothing accessories manufacturers/retailers,yes
sage-femme,5096,57,Health Practitioners,yes
sculpteur-statuaire,5284,56,,yes
secretaire d'ambassade,2181,125,Administrative and Legal Services,yes
serrurier,10141,22,Construction and Public Works,yes
tabac,3301,87,Other retailers,yes
tabac et vins,3304,85.5,Other retailers,yes
tabletier,2157,127,Manufacturing,yes
tailleur,14293,13,Clothing and clothing accessories manufacturers/retailers,yes
tailleurs,2331,117,Clothing and clothing accessories manufacturers/retailers,yes
tapissier,5496,54,Home Furniture and Supplies Manufacturers/Retailers,yes
teinturier-degraisseur,7541,41,Manufacturing,yes
tonnelier,2394,114,Manufacturing,yes
tourneur en bois,4762,62,Manufacturing,yes
traiteur,2206,122,Full-Service Restaurants,yes
uins,3745,76.5,Food stores,yes
vins,63979,1,Food stores,yes
vins en gros,8779,32,Wholesalers Trade,yes
vins-restaurant,1920,135,Food stores,"yes, change of NAICS (initially Full-Service Restaurants) to simplify the manual editing"
vins-traiteur,14390,12,Food stores,"yes, change of NAICS (initially Full-Service Restaurants) to simplify the manual editing"
